OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2005112019,1,1
2005112020,4,2
2005112021,4,3
2005112022,3,4
2005112119,3,1
2005112120,4,2
2005112121,4,3
2005112122,4,4
2005112123,3,5
2005112219,1,1
2005112220,4,2
2005112221,4,3
2005112222,4,4
2005112223,3,5
2005112319,4,1
2005112320,4,2
2005112321,4,3
2005112322,4,4
2005112323,4,5
2005112400,2,6
2005112419,3,1
2005112420,3,2
2005112421,3,3
2005112422,1,4
2006010718,1,1
2006010719,4,2
2006010720,2,3
2006011020,1,1
2006011021,2,2
2006011022,3,3
2006012518,1,1
2006012519,4,2
2006012520,3,3
2006012521,1,4
2006022623,3,1
2006022700,3,2
2006030521,1,1
2006030522,1,2
2006030523,3,3
2006030600,1,4
2006031020,3,1
2006031021,3,2
2006031022,4,3
2006031023,4,4
2006031100,3,5
2006031618,1,1
2006062819,1,1
2006062820,3,2
2006062821,4,3
2006062822,4,4
2006062823,4,5
2006062900,3,6
2006062901,1,7
2006063018,2,1
2006063019,4,2
2006063020,2,3
2006070119,2,1
2006070120,4,2
2006070121,1,3
2006070122,1,4
2006070123,4,5
2006070221,2,1
2006070222,3,2
2006070223,2,3
2006070419,2,1
2006070420,1,2
2006070722,2,1
2006070723,4,2
2006070800,3,3
2006070818,3,1
2006070819,4,2
2006070820,4,3
2006070821,4,4
2006070822,4,5
2006070823,3,6
2006070900,4,7
2006070901,1,8
2006070922,3,1
2006071018,1,1
2006071021,1,1
2006071022,4,2
2006071023,3,3
2006071100,3,4
2006071101,4,5
2006071102,4,6
2006071117,3,1
2006071118,2,2
2006071119,4,3
2006071120,1,4
2006071217,3,1
2006071218,4,2
2006071219,4,3
2006071220,4,4
2006071221,3,5
2006071222,4,6
2006071223,4,7
2006071300,4,8
2006071301,4,9
2006071302,4,10
2006071303,1,11
2006071316,2,1
2006071317,4,2
2006071318,3,3
2006071319,4,4
2006071320,3,5
2006071321,4,6
2006071322,4,7
2006071323,4,8
2006071400,4,9
2006071401,3,10
2006071402,4,11
2006071416,1,1
2006071417,4,2
2006071418,4,3
2006071419,4,4
2006071420,4,5
2006071421,3,6
2006071422,4,7
2006071423,4,8
2006071500,3,9
2006071501,4,10
2006071502,4,11
2006071503,2,12
2006071516,1,1
2006071517,4,2
2006071518,3,3
2006071519,3,4
2006071520,4,5
2006071521,4,6
2006071522,4,7
2006071523,4,8
2006071600,3,9
2006071601,4,10
2006071602,2,11
2006071618,4,1
2006071619,4,2
